"evidence_id","component_or_claim","task_source","technical_result","economic_result","support_class","triage_implication"
"E01","Causal 10-trading-day pre-roll and first-bar readiness","Task53","Continuous/split parity exact; 35/35 readiness and no evaluation contamination","Not an edge claim","TECHNICALLY_PROVEN","KEEP causal state initialization and readiness gates"
"E02","Candidate restores usable signal frequency","Task53","302 publications and 34 trades across 12/15 entry days","Gross +0.012R/trade; 5bps -0.333R/trade","TECHNICALLY_PROVEN_ECONOMICALLY_UNSUPPORTED","KEEP plumbing; do not equate frequency with edge"
"E03","Extended current-candidate economics","Task54","89 trades across 22 symbols and three windows","Gross +0.237R/trade but 5bps -0.292R/trade; bootstrap included zero","ECONOMICALLY_UNSUPPORTED","Current architecture fails cost-robust edge standard"
"E04","RSI versus MACD family direction in prior sample","Task55","Family mapping and composition diagnostics reproducible","RSI +0.621R gross/+0.283R 5bps; MACD -0.198R/-0.793R","TENTATIVE_NOT_CAUSAL","Do not retain mixed-family entries as one candidate"
"E05","Independent family holdout","Task56","Interpretability floor passed; 105 trades across all windows","RSI +0.016R gross/-0.240R 5bps; MACD -0.021R/-0.427R; robustness gates failed","INDEPENDENT_NONREPLICATION","DROP MACD entry trigger; do not promote RSI"
"E06","Combined current-candidate economics","Task57","228 trades reproduce frozen 5bps totals","Gross +0.092R/trade/PF 1.150; 5bps -0.324R/PF 0.659","ECONOMICALLY_UNSUPPORTED","REDESIGN rather than further threshold iteration"
"E07","Execution cost versus geometry","Task57","Cost formula matches native backtester","Mean/median burden 0.416R/0.252R; reasonable-risk trades only +0.009R at 5bps","BOTH_GROSS_AND_COST_WEAK","Make cost feasibility explicit before entry and require a net-edge margin"
"E08","Pathological cost outliers","Task57","Top-cost sensitivity deterministic","Removing top 10 leaves RSI -0.032R and MACD -0.458R at 5bps","PATHOLOGY_NOT_PRIMARY","Do not solve architecture with an outlier filter"
"E09","RSI payoff tail","Task58","100 RSI trades and causal excursion reconstruction validated","Prior expectancy +0.621R falls to +0.058R after top three winners; Task56 +0.016R","PRIOR_WINNERS_CONCENTRATED","RSI may remain telemetry/context only; it is not a validated entry edge"
"E10","Post-entry continuation and capture","Task58","Canonical MFE/MAE and fixed-horizon excursions validated","Winner MFE 4.240R to 2.200R; capture ratio 0.708 to 0.718; 60m excursion 1.551R to 0.717R","PAYOFF_OPPORTUNITY_CHANGED","Use a continuation-specific setup and failure-specific exit semantics"
"E11","Independent same-bar confirmation contract","Task54 and code trace","Self-credit exclusion and direction-aware family mapping are correct; every Task54 trade had exactly one confirmation","Incremental economic value cannot be identified because no accepted-trade contrast exists","TECHNICALLY_CORRECT_ECONOMICALLY_UNTESTED","CHANGE to sequential price persistence tied to the hypothesis"
"E12","15m SMA200 and 15m/60m ATR regime gates","Task56-58 and code trace","Ready and causally computed; all Task58 RSI entries aligned and regime eligible","No stable large-winner separator reproduced across Task53/54/56","TECHNICALLY_CORRECT_NONDISCRIMINATING","KEEP trend as directional context; move volatility to telemetry/cost feasibility"
"E13","Structural-primary stop and pivot R:R gate","Task54/56/57 and code trace","One canonical geometry path with fill-time repair is correct","Structural-primary was -0.061R in Task54 and Task56 RSI only +0.066R gross/-0.074R 5bps; screened R:R did not ensure realized edge","TECHNICALLY_CORRECT_ECONOMICALLY_UNSUPPORTED","CHANGE from prior-session pivot geometry to setup-local invalidation"
"E14","MACD and MA entry families","Tasks53-57","MACD signals execute correctly; MA naturally produced zero trades","MACD combined gross -0.113R and 5bps -0.619R; MA has no empirical sample","UNSUPPORTED","DROP both as entry triggers in the next candidate"
"E15","Cooldown loss-lockout throttle next-bar fill and EOD flatten","Code trace and correctness suites through Task56","Operational behavior is causal fail-closed and regression-tested","No evidence these controls create edge; composite ranking weights are not economically validated","SAFETY_PLUMBING_ONLY","KEEP safety controls and fill/EOD semantics; CHANGE ranking to cost-first deterministic ordering"
