exported_file,row_or_line_count,sha256,source_reference_repo_relative,source_snapshot,acquisition_utc
README.md,115,4b18686401636739fa02ad71e0bb5ec58f1d65db9462d9f38a54964d3bb0241d,narrative synthesis over S1/S2/S3 evidence,results/task113_v2_full_day/ ; results/prospective_2026-09-09/ ; results/task117_final_activation_20260910T072019Z/ ; results/task117_day3_eod_20260910T202656Z/,2026-09-08..2026-09-10 session captures; 2026-09-11 export
candidate_reconciliation.csv,33,38ac3668d8790edf6c5634ab23387085f414343304f1b2f6bb6e8fcc93e84923,same as candidate_reconciliation.md,multi,same
candidate_reconciliation.md,121,ce3060810828b81b715bfa5fa7f9cdb2765abacbe5b9ada0e6f8dd6c1f5e7f5a,S2 results/prospective_2026-09-09/pre_eod_forensic/forensic_summary.json ; S3 results/task117_day3_eod_20260910T202656Z/dashboard/section_original_quant.json + db/*.postclose,multi,S2 forensic 2026-09-09T17:20Z ; S3 2026-09-10T20:30Z ; export 2026-09-11
findings.md,180,d1a568d7a787d377eb15569915567ee31a70a84ef8426e57c2660545eb2c012b,"cross-session synthesis ; S2 forensic_summary.json ; S3 results/task117_day3_eod_20260910T202656Z/FINDINGS.md ; db/{exp_alerts,dispatch_audit}.db.postclose",multi,export 2026-09-11
intelligence_delivery_audit.csv,32,d31c25975c13534f614f5263dd5a126ccc55faae96056f093559f45efe1642ab,results/task117_day3_eod_20260910T202656Z/db/ingestion_ledger.db.postclose (table intelligence_delivery),ingestion_ledger.db.postclose = S3 post-close SQLite .backup(),snapshot 2026-09-10T20:33Z ; export 2026-09-11
lane_outcomes.csv,18,9e52615af9fdaf90f737af11cfb282bc2794c97b24c6c9f278888edb8769be21,S1 results/task113_v2_full_day/_eod_reconciliation_summary.json ; S2 results/prospective_2026-09-09/eod_close_20260909T201230Z/canonical_eod.json + pre_eod_forensic/forensic_summary.json ; S3 results/task117_day3_eod_20260910T202656Z/eod/eod.json + db/*.postclose,multi,2026-09-08..2026-09-10 ; export 2026-09-11
signal_delivery_trace.csv,22,3b2331d6aeb817e8cce9fa617f0fc6ee06ae95928a6f0843aaf813b63251f868,"S1 results/task113_v2_full_day/_eod_reconciliation_summary.json ; S2 results/prospective_2026-09-09/pre_eod_forensic/forensic_summary.json ; S3 results/task117_day3_eod_20260910T202656Z/db/{exp_alerts,dispatch_audit,ingestion_ledger,v2_lane}.db.postclose + logs/talonx_original.log",multi (see column evidence_ref per row),captures 2026-09-08..2026-09-10 ; export 2026-09-11
telegram_reconciliation.csv,4,a282321475f5cbf282e35e768e3767477732b253f59f7c614431a9b101e5010b,results/task117_final_activation_20260910T072019Z/activation/telegram_smoke_test.json ; results/task117_day3_eod_20260910T202656Z/db/dispatch_audit.db.postclose ; results/task117_day3_eod_20260910T202656Z/logs/talonx_original.log,multi,captures 2026-09-10 ; export 2026-09-11
watchlist_scope.csv,48,f8f61365e066c1eda0738e8d00c618dfe5be5046a05a38c024d1e12bfa0c70ce,results/task117_day3_eod_20260910T202656Z/db/watchlist.db.preclose ; results/task117_day3_eod_20260910T202656Z/forensic/scope_manifest_39.json,watchlist.db.preclose = S3 pre-close SQLite .backup(),snapshot 2026-09-10T20:29Z ; export 2026-09-11
evidence_manifest.csv,(self),(self; verify: sha256sum evidence_manifest.csv after checkout),self,self,export 2026-09-11
