"component","current_role","classification","next_candidate_treatment","reason"
"Closed-bar evaluation","Prevents intra-bar lookahead","KEEP","Evaluate triggers and confirmations only on completed bars","Technically proven causal infrastructure"
"Causal warmup/readiness","Initializes 1m/15m/60m state","KEEP","Use the same 10-trading-day state-only pre-roll and mandatory readiness gate","Task53 parity and contamination checks passed"
"Next-bar execution","Fills a published signal at the following bar open","KEEP","Entry and signal-driven exit remain next-bar-open","Avoids zero-latency fill bias"
"Long-only lifecycle","Bullish entries; bearish events can only close","KEEP","New architecture remains long-only","Matches deployment scope and proven position-state handling"
"Session blackouts and 15:50 flatten","Suppresses open/close entries and overnight risk","KEEP","Retain existing 09:30-09:45 and 15:30-16:00 entry blackouts plus 15:50 flatten","Operational risk policy rather than claimed alpha"
"Cooldown loss-lockout and capacity cap","Suppresses repeats and limits simultaneous publications","KEEP","Retain 20m cooldown 75m loss lockout and max-three capacity for isolation","Safety controls are technically sound"
"RSI curl entry trigger","Countertrend reset/reversal event","DROP","RSI14 is recorded as observational context only","Independent payoff was near zero gross and prior edge was winner-tail concentrated"
"MACD crossover entry trigger","Momentum crossover event","DROP","MACD remains telemetry only","Gross-negative across combined evidence even before costs"
"MA crossover entry trigger","Trend crossover event","DROP","Remove from candidate entry semantics","Zero trades across Tasks53-56 provides no economic basis"
"Same-bar independent confirmation","One of MACD RSI-state or relative-volume on trigger bar","CHANGE","Require a subsequent-bar price-persistence confirmation","Current confirmation is technically correct but has no accepted-trade counterfactual and is weakly tied to payoff continuation"
"15m SMA200 gate","Directional alignment for bullish regular-session candidates","KEEP_WITH_NARROWER_ROLE","Use price above a non-declining 15m SMA200 as trend context","Causal and sensible direction control; not represented as proven edge"
"15m/60m ATR threshold gate","Eligibility under 0.329% and 0.839% thresholds","CHANGE","Retain readings as telemetry; replace hard eligibility with trade-level cost-in-R feasibility","Threshold depth did not reproducibly separate large winners"
"Prior-session pivot stop/target and R:R screen","Structural-primary stop and pivot target with 1.5 minimum R:R","CHANGE","Use the setup-local pullback low as invalidation and no fixed profit target","Screened geometry did not establish realized edge and was disconnected from the entry thesis"
"Opposite-family SIGNAL_EXIT","Generic bearish RSI/MACD event closes a long","CHANGE","Exit on failure of the reclaimed price structure","Exit semantics should falsify the entry hypothesis rather than react to an unrelated family"
"Composite opportunity ranking","Ranks by confluence R:R volume and trend weights","CHANGE","If capacity binds rank by lowest frozen 5bps cost-in-R then confirmation time then ticker","Current weights are technically bounded but economically unvalidated"
"Cost model and trade telemetry","Reports 0bps/5bps R MFE MAE geometry and provenance","KEEP","Make 5bps cost-in-R an entry feasibility gate and retain full diagnostics","Task57 shows cost must be part of architecture rather than post-hoc reporting"
