session,date,event_id,ticker,direction_or_type,lane,source_channel,intended_route,publication,consumer_receipt,routing_disposition,outbox_state,send_attempt,api_ack,paper_outcome,notification_outcome,evidence_ref,confidence,notes
S1,2026-09-08,S1-V2-NONE,,V2 cluster entry,V2 trading,v2_alert_outbox,official Telegram,NONE,n/a,NO_SIGNAL,none,none,none,"no paper entry (0 code-P open-market purchases all session)",none,results/task113_v2_full_day/_eod_reconciliation_summary.json,HIGH,"178 companion ticks; ABCL episode 07242bc857569f60 held SKIPPED_ENTRY_STALE every tick; ledger unchanged"
S1,2026-09-08,S1-ORIG-INTRADAY-NONE,,intraday technical,Original intraday,talonx:signals:quant,quant->brain->dispatch->telegram,0,0,ALL_SUPPRESSED,n/a,n/a,n/a,"0 trades",0,results/task113_v2_full_day/_eod_reconciliation_summary.json,HIGH,"every candidate suppressed (opening-range blackout / confluence<2); official_telegram alerts_today=0"
S1,2026-09-08,S1-EXP-DIRECTIONAL-57,,directional (mixed),Experimental,talonx:exp:*,INTERNAL ONLY,57 directional_alerts,recorded internally,DRY_RUN_HELD,n/a,0,0,"0 experimental paper trades",0 (external blocked),results/task113_v2_full_day/_eod_reconciliation_summary.json,HIGH,"dispatch_log 115 rows all RECORDED/DRY_RUN_HELD; external_override_active=false"
S1,2026-09-08,S1-INTEL-CARDS-4,"AFL,BAC,MSTR",insider_transaction / 8-K,Intelligence,intelligence_delivery,official Telegram (Task-96 outbox),4 cards enqueued,enqueued,PENDING,PENDING,none,none,n/a,NOT SENT (outbox never drains),results/task113_v2_full_day/_eod_reconciliation_summary.json,HIGH,"AFL+BAC INSIDER_TRANSACTION, MSTR 8-K OTHER_MATERIAL_EVENT/REGULATION_FD"
S1,2026-09-08,S1-TELEGRAM-NONE,,,system/admin,,official Telegram,n/a,n/a,n/a,n/a,0,0,n/a,"0 sends S1",results/task113_v2_full_day/_eod_reconciliation_summary.json,HIGH,"no smoke test on S1; official_telegram alerts_all_time=0"
S2,2026-09-09,S2-V2-NONE,,V2 cluster entry,V2 trading,v2_alert_outbox,official Telegram,NONE,n/a,NO_SIGNAL,none,none,none,"no paper entry (0 fresh eligible clusters; 24 code-P records -> 1 cluster ABCL -> stale)",none,results/prospective_2026-09-09/pre_eod_forensic/forensic_summary.json,HIGH,"tick 124 at forensic capture; ledger md5 c09c6a88 unchanged from Day-1"
S2,2026-09-09,S2-ORIG-INTRADAY-0PUB,,intraday technical,Original intraday,talonx:signals:quant,quant->brain->dispatch->telegram,0,0,ALL_SUPPRESSED,n/a,n/a,n/a,"0 trades",0,results/prospective_2026-09-09/pre_eod_forensic/forensic_summary.json,HIGH,"every candidate suppressed (opening-range blackout or confluence<2); official intraday alerts lifetime = 0"
S2,2026-09-09,S2-EXP-PUB-9,"AMD,BLSH,SKHY,CSCO,VRT,VRT,BLSH,INTC,ABCL",directional signals,Experimental,talonx:exp:*,INTERNAL ONLY,9 (talonx_quant.consumer 'Signal:' lines in experimental.log),internal only,ISOLATED_BY_DESIGN,n/a,0,0,"2 experimental paper trades opened this day (VRT, BLSH) -- open, unrealized",0 (external blocked),results/prospective_2026-09-09/pre_eod_forensic/forensic_summary.json,HIGH,"15:02:38 AMD, 15:09:39 BLSH, 15:11:40 SKHY, 15:12:56 CSCO, 16:03:34 VRT, 16:03:34 BLSH, 16:41:24 VRT, 17:17:24 INTC, 18:06:54 ABCL. Zero in original.log. These are the '9 published' on the comingled metrics:quant:* counter."
S2,2026-09-09,S2-INTEL-LT6-ORCL,ORCL,hold_quality (info),Original long-term,talonx:alerts:longterm,official Telegram,1,1 (talonx_dispatch.consumer),RECORDED long_term_alert #LT6,outbox 6a111f526b7e9551d8bf114bec74ffcc,1,telegram_sent=1 (06:58:34Z),n/a (informational, not a trade),SENT (API-confirmed),results/prospective_2026-09-09/pre_eod_forensic/forensic_summary.json,HIGH,"ORCL 8-K earnings re-read 06:58:26Z; fair_value 175.00 MoS ~7.1%; Brain 1 / Core-LT 1 / Dispatch 1 / Telegram 1 -- the Intelligence long-term path, fully accounted"
S2,2026-09-09,S2-INTEL-CARDS-35,various,insider_transaction / filing,Intelligence,intelligence_delivery,official Telegram (Task-96 outbox),35 cards enqueued (34 IMMEDIATE + 1 DIGEST),enqueued,PENDING,PENDING,none,none,n/a,NOT SENT (outbox never drains),results/task117_day3_eod_20260910T202656Z/db/ingestion_ledger.db.postclose,HIGH,"intel_events_discovered_today=32; 35 delivery rows dated 2026-09-09, all PENDING/NEW"
