category,item,verification_method,evidence,status
data_safety,Alpaca-first warmup remains causal,fresh code read of talonx_piv/warmup.py + alpaca_historical_warmup.py causal_cutoff/future_bars_dropped fields,warmup.py:8-14;138-141,VERIFIED
data_safety,No silent provider substitution in warmup,fresh code read -- bar_count_1m_source field explicitly discloses ALPACA/ALPACA_PARTIAL_PLUS_YFINANCE/YFINANCE_FALLBACK/NONE per symbol,warmup.py:184-192,VERIFIED
data_safety,Stale cross-date readiness rejected,existing test + fresh code read of eod_lifecycle._load_prior_state and session_runner's _session!=session reset,test_task78i_stage5_rehearsal.py::test_18_cross_date_state_rejected (re-run, PASSED),VERIFIED
data_safety,Incomplete/stale symbols cannot generate actionable entries,fresh code read of session_runner.py decision_eligible = ready_symbols & warmup_ready_symbols, then freshness-STALE/DATA_GAP excluded (3-way AND gate),session_runner.py:315-329 (re-read),VERIFIED
data_safety,Monitoring still observes excluded symbols; recovery recorded honestly,fresh code read -- _check_stale iterates config.universe unconditionally (not gated on ready_symbols) per Task71S-R1 comment; DATA_RECOVERED emitted on observe_fresh transition,session_runner.py _check_stale + freshness.py observe_fresh,VERIFIED
data_safety,Provider health distinct from individual-symbol sparsity,fresh code read -- record_provider_fetch_result driven ONLY by directly-observed fetch success/failure boolean never inferred from stale-symbol count,freshness.py:176-196 (re-read in full this task),VERIFIED
data_safety,Single unavailable symbol not called provider-wide outage without evidence,same as above -- provider_state only escalates via 2 consecutive FETCH failures,freshness.py:55-60,VERIFIED
data_safety,Production UNVALIDATED defaults remain enforced,grep for strategy_approval_status_override= (keyword usage) across talonx_piv/*.py -- zero matches outside decision_engine.py's own field definition,grep re-run this task: only a comment references it,VERIFIED
data_safety,Test fixtures cannot promote WATCH into actionable BUY,fresh code read of notification_outbox.classify() -- WATCH_OBSERVATION_ONLY and ACTIONABLE_BUY are disjoint classification branches keyed off decision.recommendation (itself only BUY when strategy_approval_status==APPROVED, never settable in production),notification_outbox.py classify(),VERIFIED
downstream_independence,PAPER-entry settings do not change recommendation or suppress eligible alerts/shadow,fresh code read -- decide()'s paper_entry_enabled only affects execution_status not recommendation; _record_decision runs before the recommendation==BUY/execution_status branch,decision_contract.py decide() + decision_engine.py _handle_entry (re-read),VERIFIED
downstream_independence,Protective exits/EOD independent of new-entry toggle,existing test suite,test_task76s_protective_exit_eod.py (7 tests re-run this task -- PASSED),VERIFIED
downstream_independence,Broker failure cannot erase decision or suppress unrelated notification/shadow,existing + rehearsal,test_task78i_stage5_rehearsal.py::test_05 (re-run, PASSED); test_task77i_alert_shadow_independence.py (re-run, PASSED),VERIFIED
downstream_independence,Gemini cannot change action/approval/quantity/price/stop/target/order state,existing test with actual injected override attempt,test_task78i_gemini_enrichment.py::test_injected_action_price_approval_fields_are_never_extracted_or_stored + test_task78i_gemini_integration.py (re-run, PASSED),VERIFIED
downstream_independence,Gemini bounded timeout; cannot indefinitely delay deterministic alert,fresh code read -- request() never calls chain (sync/non-blocking); dispatch_pending wraps chain.generate in asyncio.wait_for(timeout_seconds),gemini_enrichment.py (re-read) + test_task78i_gemini_enrichment.py::test_timeout_resolves_timeout_status,VERIFIED
downstream_independence,Gemini failures recorded honestly; quantitative notifications continue,existing tests,test_task78i_gemini_enrichment.py (TIMEOUT/MALFORMED/UNAVAILABLE distinct statuses re-run, PASSED),VERIFIED
downstream_independence,No fabricated explanation when Gemini did not respond,fresh code read -- COMPLETED only set when all 5 named fields present via hasattr check; otherwise MALFORMED/UNAVAILABLE/TIMEOUT,gemini_enrichment.py dispatch_pending (re-read),VERIFIED
