file,lines_or_rows,sha256,source_reference_repo_relative,acquisition
README.md,94,3e698e8b2f1f7fa17c57185dad723898fb2f971f117e6b97e49fc1a728191dd4,synthesis,"2026-09-10 session captures (results/, git-ignored) + this task"
acceptance_matrix.md,99,87252da187ff0571564d76a2d19f9d4ade34f7f2a222fb65e1c39e9e8c2e6538,this task -> every §1-§8 criterion,"2026-09-10 session captures (results/, git-ignored) + this task"
confirmed_misses.csv,25,61100b130dce158b306f3b1ae11b92e7635a0ddc545da0dbd2acf475f8bb0d44,same as ticker_day_opportunity_matrix.csv,"2026-09-10 session captures (results/, git-ignored) + this task"
corrected_three_day_reconciliation.md,117,033d6c68a1996912987a3e76801617c61f8d2b1b48c09388382cfbd78d854ecc,"docs/audits/2026-09-10/* ; results/task117_day3_eod_20260910T202656Z/db/{ingestion_ledger,exp_alerts,dispatch_audit}.db.postclose ; results/prospective_2026-09-09/post_eod_cleanup_20260909T202954Z/*","2026-09-10 session captures (results/, git-ignored) + this task"
dashboard_acceptance.md,74,c0208581d0151355e9377064fe9937cf6aa1a2e07f9f552ce5b7aff856b079d2,live run of talonx_ops.prospective.funnel.build_funnel + talonx_ops.supervisor + talonx_ops.dashboard_read against v2_lane.db / mocked psutil,"2026-09-10 session captures (results/, git-ignored) + this task"
deployment_candidate.md,50,c42fbe3c4b30b77038f5ab9e91e1a61ed7f93c6174d66136cdc7318215fb0361,this change set,"2026-09-10 session captures (results/, git-ignored) + this task"
intelligence_delivery_closure.md,100,c02c86eba962e1f72539c5f26e4c392c135b5dbc48ff5bb6854221fabf4c888b,"talonx_ingest/intelligence/{service/enrichment.py,service/runner.py,service/config.py,delivery/*} ; results/.../ingestion_ledger.db.postclose intelligence_delivery","2026-09-10 session captures (results/, git-ignored) + this task"
issuer_identity_coverage.csv,5,f43e08783f139db2b6162413e7be9a08df364c4db96d812001087a1fa0cd01db,results/task117_day3_eod_20260910T202656Z/db/watchlist.db.preclose ; ~/.talonx/intelligence/company_tickers.json ; talonx_ops.watchlist_coverage.build_coverage_map(),"2026-09-10 session captures (results/, git-ignored) + this task"
issuer_identity_findings.md,60,447c4de3a0b11cc2db53bad552f34455ce646640fb9abc7b47d2921b4d37c84b,same,"2026-09-10 session captures (results/, git-ignored) + this task"
oracle_provenance.md,79,05e8f7c7ed8ffeaecfa07918d21903fd685164e6dcc79d45737dc3a03778e7ef,results/task117_day3_eod_20260910T202656Z/db/dispatch_audit.db.postclose long_term_alerts ; logs/talonx_original.log,"2026-09-10 session captures (results/, git-ignored) + this task"
remaining_gaps.md,77,c84fc3b438433f535da0ae829158aa9bed8228d1ea9e9f68f02fa4ecbd12b6c8,this task,"2026-09-10 session captures (results/, git-ignored) + this task"
rollback.md,57,2687b0b090c56d9d843bb530eb93c8e2bdc40c9cc9d35e69644f7397159c7612,this change set,"2026-09-10 session captures (results/, git-ignored) + this task"
ticker_day_opportunity_matrix.csv,130,adc6a94cc7e31899876a10d9ce4f3dfcd79c1fb83408a2a1de463100e04f5c72,"results/task117_day3_eod_20260910T202656Z/db/{ingestion_ledger,dispatch_audit,watchlist}.* + forensic/scope_manifest_39.json","2026-09-10 session captures (results/, git-ignored) + this task"
timestamp_findings.md,129,a4b6c6372f72f4bba45fd3f7089f0fa5141368a5ea8316a9ea8421cbc69a72db,same + talonx_ingest/intelligence/edgar_normalize.py + sessions.py,"2026-09-10 session captures (results/, git-ignored) + this task"
timestamp_trace.csv,8,b8923867fdfe31aa89c5f08a4b3c07acee6aeca81457621b8fc9a558281baf58,"results/task117_day3_eod_20260910T202656Z/db/ingestion_ledger.db.postclose (insider_filings, insider_filing_evidence, text_events, intelligence_delivery)","2026-09-10 session captures (results/, git-ignored) + this task"
evidence_manifest.csv,17,(self),self,this task
