id,ticker,action,severity,rationale,quant_direction,research_verdict,research_confidence,signal_type,price,research_summary,model_used,correlated_at,received_at,telegram_sent,telegram_sent_at,telegram_error,key_findings,risk_factors
129,GAIL.NS,confirmed_bullish,critical,"Quant signal (bullish): MACD (-0.034) crossed above signal line (-0.035). Research verdict agrees with the technical setup: bullish at 85% confidence -- The technical bullish MACD crossover is supported by recent fundamental momentum, highlighted by a massive 240% jump in standalone PAT to INR4,292 crores in Q1 FY2027. This record profit surge, driven by elevated LPG prices and a diversified portfolio, aligns with the positive technical momentum. Ongoing investments in pipeline expansion and renewable energy further reinforce the favorable medium-term outlook.",bullish,bullish,0.85,macd_bullish_cross,173.38999938964844,"The technical bullish MACD crossover is supported by recent fundamental momentum, highlighted by a massive 240% jump in standalone PAT to INR4,292 crores in Q1 FY2027. This record profit surge, driven by elevated LPG prices and a diversified portfolio, aligns with the positive technical momentum. Ongoing investments in pipeline expansion and renewable energy further reinforce the favorable medium-term outlook.",gemini-flash-lite-latest,2026-08-11T05:58:41.946329+00:00,2026-08-11T05:58:41.973465+00:00,True,2026-08-11T05:58:42.992502+00:00,,"['GAIL posted a 240% jump in standalone PAT to INR4,292 crores for Q1 FY2027.', 'Earnings growth was driven by elevated LPG prices and a diversified portfolio.', 'The company continues to focus on pipeline expansion and clean energy portfolio growth.']",['The company must continue navigating geopolitical disruptions as noted in the Q1 FY2027 earnings call.']
130,CSCO,confirmed_bullish,warning,"Quant signal (bullish): MACD (0.000) crossed above signal line (0.000). Research verdict agrees with the technical setup: bullish at 70% confidence -- Recent news and reports highlight positive momentum for Cisco ahead of its August 12, 2026 earnings call, driven by accelerating AI infrastructure demand, security partnerships like Tech Mahindra, and strong 30-day share price returns of 8.13%. This fundamental backdrop supports the MACD bullish crossover signal at 122.57, though filings consistently warn of fluctuating product gross margins and varying customer spending cycles.",bullish,bullish,0.7,macd_bullish_cross,122.57,"Recent news and reports highlight positive momentum for Cisco ahead of its August 12, 2026 earnings call, driven by accelerating AI infrastructure demand, security partnerships like Tech Mahindra, and strong 30-day share price returns of 8.13%. This fundamental backdrop supports the MACD bullish crossover signal at 122.57, though filings consistently warn of fluctuating product gross margins and varying customer spending cycles.",gemini-flash-lite-latest,2026-08-11T06:07:42.426165+00:00,2026-08-11T06:07:42.430263+00:00,True,2026-08-11T06:07:43.255150+00:00,,"['Cisco is seeing momentum build with a 30-day share price return of 8.13% ahead of the August 12 earnings call.', 'UBS expects the company to deliver revenue and earnings above consensus estimates, supported by accelerating demand for AI infrastructure.', 'Recent developments include the Tech Mahindra Security Service Edge partnership and new emergency calling integration for Webex.']","['Filings note that product gross margins may not be sustainable and have declined in certain prior periods.', 'Ongoing risks include fluctuations in demand from service providers and internet businesses, along with reduced visibility into customer spending plans.']"
131,GAIL.NS,contradicted,critical,"Quant signal (bearish): MACD (0.012) crossed below signal line (0.016). Research verdict CONTRADICTS the technical setup: bullish at 85% confidence -- The technical bullish MACD crossover is supported by recent fundamental momentum, highlighted by a massive 240% jump in standalone PAT to INR4,292 crores in Q1 FY2027. This record profit surge, driven by elevated LPG prices and a diversified portfolio, aligns with the positive technical momentum. Ongoing investments in pipeline expansion and renewable energy further reinforce the favorable medium-term outlook.",bearish,bullish,0.85,macd_bearish_cross,173.77000427246094,"The technical bullish MACD crossover is supported by recent fundamental momentum, highlighted by a massive 240% jump in standalone PAT to INR4,292 crores in Q1 FY2027. This record profit surge, driven by elevated LPG prices and a diversified portfolio, aligns with the positive technical momentum. Ongoing investments in pipeline expansion and renewable energy further reinforce the favorable medium-term outlook.",gemini-flash-lite-latest,2026-08-11T06:19:40.818061+00:00,2026-08-11T06:19:40.820011+00:00,True,2026-08-11T06:19:41.687620+00:00,,"['GAIL posted a 240% jump in standalone PAT to INR4,292 crores for Q1 FY2027.', 'Earnings growth was driven by elevated LPG prices and a diversified portfolio.', 'The company continues to focus on pipeline expansion and clean energy portfolio growth.']",['The company must continue navigating geopolitical disruptions as noted in the Q1 FY2027 earnings call.']
132,GAIL.NS,confirmed_bullish,critical,"Quant signal (bullish): MACD (0.007) crossed above signal line (0.007). Research verdict agrees with the technical setup: bullish at 85% confidence -- The technical bullish MACD crossover is supported by recent fundamental momentum, highlighted by a massive 240% jump in standalone PAT to INR4,292 crores in Q1 FY2027. This record profit surge, driven by elevated LPG prices and a diversified portfolio, aligns with the positive technical momentum. Ongoing investments in pipeline expansion and renewable energy further reinforce the favorable medium-term outlook.",bullish,bullish,0.85,macd_bullish_cross,174.85000610351562,"The technical bullish MACD crossover is supported by recent fundamental momentum, highlighted by a massive 240% jump in standalone PAT to INR4,292 crores in Q1 FY2027. This record profit surge, driven by elevated LPG prices and a diversified portfolio, aligns with the positive technical momentum. Ongoing investments in pipeline expansion and renewable energy further reinforce the favorable medium-term outlook.",gemini-flash-lite-latest,2026-08-11T07:41:16.651733+00:00,2026-08-11T07:41:16.662138+00:00,True,2026-08-11T07:41:17.628175+00:00,,"['GAIL posted a 240% jump in standalone PAT to INR4,292 crores for Q1 FY2027.', 'Earnings growth was driven by elevated LPG prices and a diversified portfolio.', 'The company continues to focus on pipeline expansion and clean energy portfolio growth.']",['The company must continue navigating geopolitical disruptions as noted in the Q1 FY2027 earnings call.']
133,GAIL.NS,contradicted,critical,"Quant signal (bearish): MACD (0.047) crossed below signal line (0.047). Research verdict CONTRADICTS the technical setup: bullish at 85% confidence -- The technical bullish MACD crossover is supported by recent fundamental momentum, highlighted by a massive 240% jump in standalone PAT to INR4,292 crores in Q1 FY2027. This record profit surge, driven by elevated LPG prices and a diversified portfolio, aligns with the positive technical momentum. Ongoing investments in pipeline expansion and renewable energy further reinforce the favorable medium-term outlook.",bearish,bullish,0.85,macd_bearish_cross,174.85000610351562,"The technical bullish MACD crossover is supported by recent fundamental momentum, highlighted by a massive 240% jump in standalone PAT to INR4,292 crores in Q1 FY2027. This record profit surge, driven by elevated LPG prices and a diversified portfolio, aligns with the positive technical momentum. Ongoing investments in pipeline expansion and renewable energy further reinforce the favorable medium-term outlook.",gemini-flash-lite-latest,2026-08-11T08:02:16.827524+00:00,2026-08-11T08:02:16.830438+00:00,True,2026-08-11T08:02:18.015410+00:00,,"['GAIL posted a 240% jump in standalone PAT to INR4,292 crores for Q1 FY2027.', 'Earnings growth was driven by elevated LPG prices and a diversified portfolio.', 'The company continues to focus on pipeline expansion and clean energy portfolio growth.']",['The company must continue navigating geopolitical disruptions as noted in the Q1 FY2027 earnings call.']
134,TCI.NS,confirmed_bullish,warning,"Quant signal (bullish): MACD (-0.584) crossed above signal line (-0.587). Research verdict agrees with the technical setup: bullish at 75% confidence -- The MACD bullish crossover on TCI.NS aligns with recent positive fundamental reports from the company's earnings calls. Specifically, the Q1 2027 earnings call highlighted 9 percent consolidated revenue growth and strong cold chain performance, supporting the bullish technical momentum despite broader cost headwinds.",bullish,bullish,0.75,macd_bullish_cross,929.5499877929688,"The MACD bullish crossover on TCI.NS aligns with recent positive fundamental reports from the company's earnings calls. Specifically, the Q1 2027 earnings call highlighted 9 percent consolidated revenue growth and strong cold chain performance, supporting the bullish technical momentum despite broader cost headwinds.",gemini-flash-lite-latest,2026-08-11T08:10:18.294100+00:00,2026-08-11T08:10:18.307980+00:00,True,2026-08-11T08:10:19.293333+00:00,,"['Q1 2027 earnings call reported 9 percent consolidated revenue growth driven by cold chain performance.', 'Q3 and Q4 2026 earnings calls indicated robust revenue growth and significant expansion in multimodal operations.', 'The company has demonstrated steady performance, marking its 24th consecutive reporting milestone as per the Q1 2027 update.']","['Ongoing margin challenges and cost pressures noted in multiple earnings call summaries.', 'Bunker price volatility and supply chain moderation mentioned as external headwinds.']"
135,GAIL.NS,confirmed_bullish,warning,"Quant signal (bullish): MACD (-0.035) crossed above signal line (-0.037). Research verdict agrees with the technical setup: bullish at 75% confidence -- Despite the bearish MACD crossover signal, fundamental news from the Q1 FY2027 earnings call highlights a massive 240% jump in standalone PAT to INR4,292 crores driven by elevated LPG prices. This strong financial outperformance creates a fundamental tailwind that challenges the short-term bearish technical setup.",bullish,bullish,0.75,macd_bullish_cross,174.77000427246094,"Despite the bearish MACD crossover signal, fundamental news from the Q1 FY2027 earnings call highlights a massive 240% jump in standalone PAT to INR4,292 crores driven by elevated LPG prices. This strong financial outperformance creates a fundamental tailwind that challenges the short-term bearish technical setup.",gemini-flash-lite-latest,2026-08-11T08:27:17.062999+00:00,2026-08-11T08:27:17.069383+00:00,True,2026-08-11T08:27:17.978422+00:00,,"['GAIL posted a massive 240% jump in standalone PAT to INR4,292 crores in Q1 FY2027.', 'Earnings were driven by elevated LPG prices and a diversified portfolio.', 'Company is actively pursuing pipeline expansion and clean energy investments.']","['Navigating ongoing geopolitical disruptions as noted in the Q1 FY2027 earnings call.', 'Prior quarters (Q3 and Q4 2026) experienced dips in profits despite strategic growth focuses.']"
136,GAIL.NS,contradicted,warning,"Quant signal (bearish): MACD (0.022) crossed below signal line (0.023). Research verdict CONTRADICTS the technical setup: bullish at 75% confidence -- Despite the bearish MACD crossover signal, fundamental news from the Q1 FY2027 earnings call highlights a massive 240% jump in standalone PAT to INR4,292 crores driven by elevated LPG prices. This strong financial outperformance creates a fundamental tailwind that challenges the short-term bearish technical setup.",bearish,bullish,0.75,macd_bearish_cross,174.86000061035156,"Despite the bearish MACD crossover signal, fundamental news from the Q1 FY2027 earnings call highlights a massive 240% jump in standalone PAT to INR4,292 crores driven by elevated LPG prices. This strong financial outperformance creates a fundamental tailwind that challenges the short-term bearish technical setup.",gemini-flash-lite-latest,2026-08-11T09:33:17.643397+00:00,2026-08-11T09:33:17.649473+00:00,True,2026-08-11T09:33:18.703321+00:00,,"['GAIL posted a massive 240% jump in standalone PAT to INR4,292 crores in Q1 FY2027.', 'Earnings were driven by elevated LPG prices and a diversified portfolio.', 'Company is actively pursuing pipeline expansion and clean energy investments.']","['Navigating ongoing geopolitical disruptions as noted in the Q1 FY2027 earnings call.', 'Prior quarters (Q3 and Q4 2026) experienced dips in profits despite strategic growth focuses.']"
137,GAIL.NS,confirmed_bearish,info,"Quant signal (bearish): MACD (0.223) crossed below signal line (0.231). Research verdict agrees with the technical setup: bearish at 60% confidence -- The technical signal indicates a bearish MACD crossover at a price of 175.34 on August 11, 2026. This downward momentum aligns with recent news highlights from Q4 2026 and Q3 2026 that previously pointed to dips in profits, validating near-term operational challenges despite a recent Q1 FY2027 profit surge.",bearish,bearish,0.6,macd_bearish_cross,175.33999633789062,"The technical signal indicates a bearish MACD crossover at a price of 175.34 on August 11, 2026. This downward momentum aligns with recent news highlights from Q4 2026 and Q3 2026 that previously pointed to dips in profits, validating near-term operational challenges despite a recent Q1 FY2027 profit surge.",gemini-flash-lite-latest,2026-08-11T10:05:19.302088+00:00,2026-08-11T10:05:19.316563+00:00,False,,,"['Q4 2026 and Q3 2026 earnings calls highlighted a dip in profits while navigating strategic challenges.', 'Q1 FY2027 reported a record standalone PAT jump of 240% to INR4,292 crores driven by elevated LPG prices, but the company continues to navigate ongoing geopolitical disruptions.']","['Potential volatility from geopolitical disruptions mentioned in the Q1 FY2027 earnings call.', 'Historical vulnerability to profit dips noted in previous quarters.']"
138,BABA,confirmed_bearish,warning,"Quant signal (bearish): MACD (-0.000) crossed below signal line (-0.000). Research verdict agrees with the technical setup: bearish at 65% confidence -- The bearish MACD crossover aligns with recent downward price action, as Alibaba settled at $126.81 on August 6 following a -1.34% drop underperforming the broader market. While recent news highlights positive catalysts such as the August 3 launch of the Qwen3.8-Max AI model and competitive positioning against DeepSeek and Google, the immediate price weakness and technical trigger suggest near-term downside momentum.",bearish,bearish,0.65,macd_bearish_cross,132.32,"The bearish MACD crossover aligns with recent downward price action, as Alibaba settled at $126.81 on August 6 following a -1.34% drop underperforming the broader market. While recent news highlights positive catalysts such as the August 3 launch of the Qwen3.8-Max AI model and competitive positioning against DeepSeek and Google, the immediate price weakness and technical trigger suggest near-term downside momentum.",gemini-flash-lite-latest,2026-08-11T11:41:20.751609+00:00,2026-08-11T11:41:20.758628+00:00,True,2026-08-11T11:41:21.607912+00:00,,"['Alibaba shares settled at $126.81 on August 6, representing a -1.34% decline from the previous close.', 'Alibaba unveiled its Qwen3.8-Max AI model on August 3, initially driving Hong Kong-listed shares up about 7%.', ""Competitive pricing pressures persist in the AI sector, highlighted by DeepSeek's V4-Flash matching Gemini 3.6 Flash at $0.03 per benchmark test.""]","['Intense competition in the Chinese AI development space on a near-weekly cadence could pressure margins and sentiment.', 'Recent short-term price underperformance relative to the broader market despite major AI product announcements.']"
