scenario,trigger,expected,observed,evidence,verdict,limitation,label
01_clean_startup_readiness,run_startup_sequence + 31 ticks of full opening-minute data,"startup passes, AAPL reaches READY at 10:00 ET","startup.passed=True, ready_symbols={'AAPL'}",test function assertions below,PASSED,none,OFFLINE_APPLICATION_INTEGRATION_EVIDENCE
02_unvalidated_entry_blocked,"bullish signal, PAPER enabled, default (no approval override) construction",zero broker orders -- strategy_approval_status always UNVALIDATED for real callers,orders=[],decision_ledger + broker order count,PASSED,none,OFFLINE_APPLICATION_INTEGRATION_EVIDENCE
03_approved_paper_disabled,"approved+bullish decision, PAPER disabled",no broker order; alert + shadow still created,"orders=[], outbox=1, shadow=1",outbox/shadow record counts,PASSED,none,OFFLINE_APPLICATION_INTEGRATION_EVIDENCE
04_approved_paper_enabled_linked,"same fixture, PAPER enabled","linked but SEPARATE fake-PAPER and shadow records, both present, both keyed by the same decision_id","paper_position=True, shadow_linked=True",lifecycle position + shadow.get_by_decision,PASSED,none,OFFLINE_APPLICATION_INTEGRATION_EVIDENCE
05_broker_failure_no_block,broker.submit_order raises a raw transport exception on the first attempt,"alert + shadow already recorded (durably, before the failing broker call) -- unaffected; the raw exception propagates to SessionRunner's own outer per-tick guard in the live loop, not swallowed silently here","propagated=True, outbox=1, shadow=1",outbox/shadow record counts after a raised broker exception + reference to session-runner tick-isolation test,PASSED,"DecisionEngine._handle_entry only catches PaperGuardError, not a raw transport exception -- SessionRunner's outer guard is the actual safety net for a genuine connectivity failure, consistent with scenario 14's Redis finding",OFFLINE_APPLICATION_INTEGRATION_EVIDENCE
06_notification_failure_restart_recovery,"Telegram send raises, then process restarts with a working sender","UNCERTAIN recorded honestly, then resolved to SENT after restart with no duplicate record","pre=UNCERTAIN, post=SENT, records=1",notification_outbox.json before/after restart,PASSED,none,OFFLINE_APPLICATION_INTEGRATION_EVIDENCE
07_gemini_timeout_malformed_injection,slow/garbage/injecting fake Gemini responses,"TIMEOUT, MALFORMED, and zero broker-order effect from an injected override respectively","timeout=TIMEOUT, malformed=MALFORMED, orders_unaffected=True",gemini_enrichment.json statuses + broker order list before/after,PASSED,none,OFFLINE_APPLICATION_INTEGRATION_EVIDENCE
08_sparse_data_recovery,"MSFT absent from the feed for 2 ticks, then present",never synthesized while missing; correctly picked up once real data resumes,"missing_at_t0=True, recovered_at_t2=True",runner._last_bar_ts membership,PASSED,none,OFFLINE_APPLICATION_INTEGRATION_EVIDENCE
09_horizon_expiry_with_without_data,"horizon deadline reached with, then without, an intervening bar",causal HORIZON exit at the real late bar; HORIZON_EXPIRED_NO_EXECUTABLE_OBSERVATION at forced EOD flatten,"with_data_reason=HORIZON, without_data_reason=HORIZON_EXPIRED_NO_EXECUTABLE_OBSERVATION",shadow_ledger records,PASSED,none,OFFLINE_APPLICATION_INTEGRATION_EVIDENCE
10_partial_fill_competing_exit_uncertain,"partial fill on a scale-out sell, then a competing oversized sell","remaining_quantity correctly reduced to 2; competing oversized exit rejected, never double-sold","competing_rejected=True, remaining_quantity=2.0",lifecycle_state.json position + rejection,PASSED,none,OFFLINE_APPLICATION_INTEGRATION_EVIDENCE
11_duplicate_launcher_ownership,a second instance attempts to acquire the SAME account's execution lock while the first holds it,second instance denied; freed correctly after the first releases,"denied=True, free_after_release=True",test_task78i_execution_ownership.py (genuine subprocess proof) + this direct proof,PASSED,none,OFFLINE_APPLICATION_INTEGRATION_EVIDENCE
12_crash_restart_outstanding_work,process restart with pending notification/shadow work and a fresh reconcile(),all durable work resumes from disk with no loss/duplication; reconcile() runs cleanly,"outbox_records=1, shadow_positions=1, reconciled=False",notification_outbox.json/shadow_ledger.json/lifecycle_state.json re-read after restart,PASSED,none,OFFLINE_APPLICATION_INTEGRATION_EVIDENCE
13_dashboard_unavailable,grep talonx_piv/*.py for any dashboard_web/dashboard import,zero references -- PIV cannot be affected by dashboard availability,grep_output_empty=True,powershell Select-String output,PASSED,none,OFFLINE_APPLICATION_INTEGRATION_EVIDENCE
14_redis_interruption,pubsub.get_message raises ConnectionError mid-tick,the failure propagates explicitly (never silently dropped as a successful cycle); SessionRunner.run()'s own outer per-tick guard (test_task65_session_runner.py::test_isolated_tick_failure_does_not_kill_the_session_loop) is what keeps the LIVE loop running afterward,exception_propagated=True,direct on_bars() call + reference to existing tick-isolation test,PASSED,"DecisionEngine.on_bars itself does not catch a Redis failure -- SessionRunner.process_tick's OWN outer try/except is the actual safety net in the live loop, not this module",OFFLINE_APPLICATION_INTEGRATION_EVIDENCE
15_premarket_to_regular_transition,"a premarket radar tick, then the 09:30 ET regular-session tick",premarket remains observational-only (zero orders); regular-session bar processing picks up cleanly at 09:30,"no_orders_premarket=True, regular_session_bar_observed=True",transport.orders + runner._last_bar_ts,PASSED,none,OFFLINE_APPLICATION_INTEGRATION_EVIDENCE
16_automatic_eod_reconciliation,"run_eod_lifecycle with a flat, matched broker/internal state","PASSED status, original session identity retained, explicit reconciliation result","status=PASSED, session_id_matches=True",eod_lifecycle outcome dict,PASSED,none,OFFLINE_APPLICATION_INTEGRATION_EVIDENCE
17_interrupted_eod_safe_recovery,"cancel_all_orders fails on the first EOD attempt, retried",first attempt INCONCLUSIVE (never fabricated PASSED); idempotent retry then PASSED,"first=INCONCLUSIVE, second=PASSED",eod_lifecycle outcomes across two calls,PASSED,none,OFFLINE_APPLICATION_INTEGRATION_EVIDENCE
18_cross_date_state_rejected,a new trading date begins with stale prior-day readiness/EOD state on disk,readiness resets for the new date; prior-day EOD state is never reused for a different date,"session_rolled_over=True, cross_date_eod_state_rejected=True",runner._session/_ready_symbols + eod_lifecycle._load_prior_state,PASSED,none,OFFLINE_APPLICATION_INTEGRATION_EVIDENCE
19_full_ledger_status_dashboard_reconciliation,build_integrated_projection after a full decision cycle,every projected count matches the underlying ledger's own length exactly,"decisions=1==1, notifications=1==1, shadow=1==1",observability.build_integrated_projection vs raw ledger lengths,PASSED,none,OFFLINE_APPLICATION_INTEGRATION_EVIDENCE
20_clean_shutdown_no_orphan,a clean run_once exit followed by an explicit release(),zero restart attempts consumed; lock immediately reacquirable -- no orphaned ownership left behind,"restart_attempts=0, reacquirable_after_release=True",run_with_bounded_restart return value + ExecutionOwnership re-acquisition,PASSED,none,OFFLINE_APPLICATION_INTEGRATION_EVIDENCE
