source_identity,raw_value,source_field,old_parser_version,existing_normalized_value,verified_proposed_value,evidence,confidence,dependent_records,classification
0001140361-26-034741|acceptance,SGML<ACCEPTANCE-DATETIME>=20260827183030  submissions.acceptanceDateTime=2026-08-27T22:30:30.000Z,BOTH: Archives *.hdr.sgml <ACCEPTANCE-DATETIME> (US/Eastern naive) + data.sec.gov/submissions acceptanceDateTime (Z),"edgar_normalize.parse_acceptance_datetime @ e3e7303 (Z->Eastern, WRONG)",2026-08-27T22:30:30+00:00  (submissions JSON = genuine UTC),2026-08-27T22:30:30+00:00  (UNCHANGED -- already correct UTC),JSON = SGML-Eastern + 4h (EDT). SEC already converted ET->UTC for the submissions API.,HIGH (10/10 cross-referenced accessions consistent),"text_events.session_bucket, significance session inputs, V2 from_insider_store fallback date",ALREADY_CORRECT
0001140361-26-035362|acceptance,SGML<ACCEPTANCE-DATETIME>=20260901183204  submissions.acceptanceDateTime=2026-09-01T22:32:04.000Z,BOTH: Archives *.hdr.sgml <ACCEPTANCE-DATETIME> (US/Eastern naive) + data.sec.gov/submissions acceptanceDateTime (Z),"edgar_normalize.parse_acceptance_datetime @ e3e7303 (Z->Eastern, WRONG)",2026-09-01T22:32:04+00:00  (submissions JSON = genuine UTC),2026-09-01T22:32:04+00:00  (UNCHANGED -- already correct UTC),JSON = SGML-Eastern + 4h (EDT). SEC already converted ET->UTC for the submissions API.,HIGH (10/10 cross-referenced accessions consistent),"text_events.session_bucket, significance session inputs, V2 from_insider_store fallback date",ALREADY_CORRECT
0001140361-26-035636|acceptance,SGML<ACCEPTANCE-DATETIME>=20260903183044  submissions.acceptanceDateTime=2026-09-03T22:30:44.000Z,BOTH: Archives *.hdr.sgml <ACCEPTANCE-DATETIME> (US/Eastern naive) + data.sec.gov/submissions acceptanceDateTime (Z),"edgar_normalize.parse_acceptance_datetime @ e3e7303 (Z->Eastern, WRONG)",2026-09-03T22:30:44+00:00  (submissions JSON = genuine UTC),2026-09-03T22:30:44+00:00  (UNCHANGED -- already correct UTC),JSON = SGML-Eastern + 4h (EDT). SEC already converted ET->UTC for the submissions API.,HIGH (10/10 cross-referenced accessions consistent),"text_events.session_bucket, significance session inputs, V2 from_insider_store fallback date",ALREADY_CORRECT
0001525321-26-000009|acceptance,SGML<ACCEPTANCE-DATETIME>=20260818192049  submissions.acceptanceDateTime=2026-08-18T23:20:49.000Z,BOTH: Archives *.hdr.sgml <ACCEPTANCE-DATETIME> (US/Eastern naive) + data.sec.gov/submissions acceptanceDateTime (Z),"edgar_normalize.parse_acceptance_datetime @ e3e7303 (Z->Eastern, WRONG)",2026-08-18T23:20:49+00:00  (submissions JSON = genuine UTC),2026-08-18T23:20:49+00:00  (UNCHANGED -- already correct UTC),JSON = SGML-Eastern + 4h (EDT). SEC already converted ET->UTC for the submissions API.,HIGH (10/10 cross-referenced accessions consistent),"text_events.session_bucket, significance session inputs, V2 from_insider_store fallback date",ALREADY_CORRECT
0001552781-26-000454|acceptance,SGML<ACCEPTANCE-DATETIME>=20260819161548  submissions.acceptanceDateTime=2026-08-19T20:15:48.000Z,BOTH: Archives *.hdr.sgml <ACCEPTANCE-DATETIME> (US/Eastern naive) + data.sec.gov/submissions acceptanceDateTime (Z),"edgar_normalize.parse_acceptance_datetime @ e3e7303 (Z->Eastern, WRONG)",2026-08-19T20:15:48+00:00  (submissions JSON = genuine UTC),2026-08-19T20:15:48+00:00  (UNCHANGED -- already correct UTC),JSON = SGML-Eastern + 4h (EDT). SEC already converted ET->UTC for the submissions API.,HIGH (10/10 cross-referenced accessions consistent),"text_events.session_bucket, significance session inputs, V2 from_insider_store fallback date",ALREADY_CORRECT
0001626201-26-000019|acceptance,SGML<ACCEPTANCE-DATETIME>=20260818192123  submissions.acceptanceDateTime=2026-08-18T23:21:23.000Z,BOTH: Archives *.hdr.sgml <ACCEPTANCE-DATETIME> (US/Eastern naive) + data.sec.gov/submissions acceptanceDateTime (Z),"edgar_normalize.parse_acceptance_datetime @ e3e7303 (Z->Eastern, WRONG)",2026-08-18T23:21:23+00:00  (submissions JSON = genuine UTC),2026-08-18T23:21:23+00:00  (UNCHANGED -- already correct UTC),JSON = SGML-Eastern + 4h (EDT). SEC already converted ET->UTC for the submissions API.,HIGH (10/10 cross-referenced accessions consistent),"text_events.session_bucket, significance session inputs, V2 from_insider_store fallback date",ALREADY_CORRECT
0001775297-26-000011|acceptance,SGML<ACCEPTANCE-DATETIME>=20260818192107  submissions.acceptanceDateTime=2026-08-18T23:21:07.000Z,BOTH: Archives *.hdr.sgml <ACCEPTANCE-DATETIME> (US/Eastern naive) + data.sec.gov/submissions acceptanceDateTime (Z),"edgar_normalize.parse_acceptance_datetime @ e3e7303 (Z->Eastern, WRONG)",2026-08-18T23:21:07+00:00  (submissions JSON = genuine UTC),2026-08-18T23:21:07+00:00  (UNCHANGED -- already correct UTC),JSON = SGML-Eastern + 4h (EDT). SEC already converted ET->UTC for the submissions API.,HIGH (10/10 cross-referenced accessions consistent),"text_events.session_bucket, significance session inputs, V2 from_insider_store fallback date",ALREADY_CORRECT
0002071761-26-000010|acceptance,SGML<ACCEPTANCE-DATETIME>=20260818192141  submissions.acceptanceDateTime=2026-08-18T23:21:41.000Z,BOTH: Archives *.hdr.sgml <ACCEPTANCE-DATETIME> (US/Eastern naive) + data.sec.gov/submissions acceptanceDateTime (Z),"edgar_normalize.parse_acceptance_datetime @ e3e7303 (Z->Eastern, WRONG)",2026-08-18T23:21:41+00:00  (submissions JSON = genuine UTC),2026-08-18T23:21:41+00:00  (UNCHANGED -- already correct UTC),JSON = SGML-Eastern + 4h (EDT). SEC already converted ET->UTC for the submissions API.,HIGH (10/10 cross-referenced accessions consistent),"text_events.session_bucket, significance session inputs, V2 from_insider_store fallback date",ALREADY_CORRECT
0002071761-26-000011|acceptance,SGML<ACCEPTANCE-DATETIME>=20260908070211  submissions.acceptanceDateTime=2026-09-08T11:02:11.000Z,BOTH: Archives *.hdr.sgml <ACCEPTANCE-DATETIME> (US/Eastern naive) + data.sec.gov/submissions acceptanceDateTime (Z),"edgar_normalize.parse_acceptance_datetime @ e3e7303 (Z->Eastern, WRONG)",2026-09-08T11:02:11+00:00  (submissions JSON = genuine UTC),2026-09-08T11:02:11+00:00  (UNCHANGED -- already correct UTC),JSON = SGML-Eastern + 4h (EDT). SEC already converted ET->UTC for the submissions API.,HIGH (10/10 cross-referenced accessions consistent),"text_events.session_bucket, significance session inputs, V2 from_insider_store fallback date",ALREADY_CORRECT
0002111867-26-000012|acceptance,SGML<ACCEPTANCE-DATETIME>=20260818192154  submissions.acceptanceDateTime=2026-08-18T23:21:54.000Z,BOTH: Archives *.hdr.sgml <ACCEPTANCE-DATETIME> (US/Eastern naive) + data.sec.gov/submissions acceptanceDateTime (Z),"edgar_normalize.parse_acceptance_datetime @ e3e7303 (Z->Eastern, WRONG)",2026-08-18T23:21:54+00:00  (submissions JSON = genuine UTC),2026-08-18T23:21:54+00:00  (UNCHANGED -- already correct UTC),JSON = SGML-Eastern + 4h (EDT). SEC already converted ET->UTC for the submissions API.,HIGH (10/10 cross-referenced accessions consistent),"text_events.session_bucket, significance session inputs, V2 from_insider_store fallback date",ALREADY_CORRECT
