strategy,hypothesis,sample_size,key_finding,gross_or_pre_cost_result,net_result_primary_cost,classification_1,classification_2,classification_3,classification_4,rejection_was_clean_statistical_rejection,notes
Legacy Quant (Task8),momentum/RSI/MACD confluence continuation,93 trades 10 symbols full year cost-free,win rate 19.35% PF 0.821 expectancy -0.1424R,negative even at 0bps,negative,ECONOMIC_EDGE_TOO_SMALL,CONCENTRATION,SAMPLE_SIZE,IMPLEMENTATION_DEFECT,NO,"pre-fix engine had a short-inclusion bug later corrected (Task 24); STX=57% of trades"
Legacy Quant (Task26),same strategy after LONG_ONLY correction,26 trades 10 symbols full year,win rate 30.77% CI[13-48.5%] PF 1.238 at 0bps,PF>1 at 0bps,PF<1 by 5bps -4.64R; -13.56R at 10bps,ECONOMIC_EDGE_TOO_SMALL,CONCENTRATION,SAMPLE_SIZE,,YES,"STX+AMD+PYPL=100% of positive R; 5/10 symbols zero trades; decision CANONICAL_BASELINE_ESTABLISHED_BUT_EDGE_UNPROVEN"
Legacy Quant (Task36),same strategy after stop-geometry correction,7 trades 10 symbols full year,win rate 42.9% CI[15.8-75%],PF 0.756 at 0bps already,negative,ECONOMIC_EDGE_TOO_SMALL,SAMPLE_SIZE,CONCENTRATION,IMPLEMENTATION_DEFECT,NO,"stop-geometry fix between Task26/36 changed the trade population materially; AMD(4)+STX(3 all losers) concentrated; 8/10 symbols zero trades"
Legacy Quant (Task37),35-symbol production feasibility check,1 trade total across 3 sampled weeks,LOW_VOLATILITY gate blocked 88.34% of bars,n/a,n/a,SAMPLE_SIZE,,,,NO,"LIKELY_TOO_SPARSE verdict; never reached a P&L conclusion"
FPRC_V1,failed-pullback-reclaim continuation in 15m-SMA200 uptrend,205 trades 32 symbols (68/72/65 across 3 windows),gross expectancy -0.003285R/trade (~zero),negative,-0.144367R at 5bps PF 0.538,HYPOTHESIS_FAILURE,ECONOMIC_EDGE_TOO_SMALL,MULTIPLE_TESTING_RISK,,YES,"bootstrap CI [-0.225,-0.055]R entirely negative; all 3 windows negative; one self-caught future-dated-window bug pre-outcome (Task61->61R), did not contaminate final result"
ORPB_V1,opening-range breakout with volume confirmation,46 trades 26 symbols (13/10/23 across 3 windows),gross expectancy -0.131247R PF 0.764 (negative pre-cost),negative,-0.243162R at 5bps PF 0.626,HYPOTHESIS_FAILURE,SAMPLE_SIZE,CONCENTRATION,MULTIPLE_TESTING_RISK,YES,"bootstrap CI [-0.579,+0.152]R crosses zero (underpowered); max_symbol_positive_R_share=0.2147>0.20 cap; SIP-vs-IEX provider mismatch investigated and RULED OUT as the cause of an early data gap (genuine SIP gap, not a feed-default bug)"
F1 multi-hour trend,60-90m directional continuation,"5544/3609/3033 events, 35 symbols, 63 days (3 defs)",negative excess at 60m (-0.0612% to -0.1196%) -- reversal not continuation,wrong sign vs hypothesis,economically too small vs 10bps friction,HYPOTHESIS_FAILURE,ECONOMIC_EDGE_TOO_SMALL,,,YES,"WEAK_SIGNAL verdict on all 3 defs; low concentration (top1<=6.5%)"
F2 structural pullback,shallow pullback preserves structure then continues,"5084/7481/10215 events, 3 defs",negative excess -0.1473%/-0.1008% at 60m -- momentum exhaustion not continuation,wrong sign vs hypothesis,negative vs hypothesis direction,HYPOTHESIS_FAILURE,REGIME_INSTABILITY,,,YES,"effect-surface instability flagged (same_sign_frac=0.44, max/median ratio up to 3.17) for 2/3 defs"
F3 range/vol expansion,compression+expansion triggers abnormal directional move,"141/262/76 events depending on def, 19-25 symbols",2/3 defs PHENOMENON_NOT_OBSERVED; 1/3 (n=76) showed +0.2582% at 60m,isolated single-definition apparent win,not trusted -- see notes,SAMPLE_SIZE,CONCENTRATION,REGIME_INSTABILITY,MULTIPLE_TESTING_RISK,YES,"researchers' own words: 'exactly the isolated best-fit point pattern this methodology exists to catch'; top3_symbol_share up to 41.2%; not nominated"
F4 relative strength vs SPY/sector,beta-adjusted residual strength continuation,"4093/2208/1652 events shrinking with lookback, 32-day application half",statistically real positive effect at some horizons (CI excludes zero, e.g. +0.0638%[0.0314,0.0982] at 30m),genuine but sub-friction,smaller than 10bps cost,ECONOMIC_EDGE_TOO_SMALL,SAMPLE_SIZE,,,YES,"careful causal beta design (31-day calibration half strictly before 32-day application half); the one family where the effect is real but just too small, not spurious"
F5 compression precondition,low realized vol predicts later large/directional move,"1230/5811/2788 events, 3 defs",0/3 PRESENT on volatility-effect; one def showed compression predicting LESS subsequent range (-0.1012% to -0.1358%),clean negative,clean negative,HYPOTHESIS_FAILURE,,,,YES,"Task67B's own words: 'Clean negative: compression alone predicts nothing.'"
F6_FADE_V1 (development),opening-window move fade / mean reversion,735 events 35 symbols 63 days,60m excess -0.1561% CI[-0.284,-0.031] (fade direction profits),small positive after fade-direction sign flip,net at 10bps slightly negative,ECONOMIC_EDGE_TOO_SMALL,,,,N/A (discovery period not a rejection),"the only family to reach PHENOMENON_PRESENT on all 3 defs at Stage 1 -- frozen and validated separately (Task68A/70)"
F6_FADE_V1 (Task70 validation),same frozen rule vs 2024-02-01..03-15 holdout,43 trades 20 symbols 10 days,net +0.338% gross +0.438% -- narrow pass,positive,positive but thin sample,SAMPLE_SIZE,,,,YES,"session_coverage exactly at the pre-registered 10-day floor; bootstrap CI [-0.071%,+0.694%] close to zero"
F6_FADE_V1 (Task70 replication),same frozen rule vs 2024-09-03..10-18 holdout,182 trades 33 symbols 34 days,net -0.224% gross -0.124% -- direction REVERSED,negative,negative at every cost level including 0bps,HYPOTHESIS_FAILURE,LONG_SHORT_INSTABILITY,,,YES,"bootstrap CI [-0.319%,-0.123%] entirely negative on the BROADER of the two holdout samples; profitable side of trade flips across development/validation/replication"
