session,date,sha,lane,publications,informational_cards,delivery_count,paper_entries,paper_exits,open_positions,realized_pnl_usd,unrealized_pnl_usd,valuation_time_utc,costs,pending_obligations,evidence_ref,notes
S1,2026-09-08,54c9b40,V2 trading,0,0,0,0,0,0,0.00,0.00,2026-09-08T20:05:46Z,"n/a (no positions)","none (0 intents, 0 outbox, 0 exit_unresolved)",results/task113_v2_full_day/_eod_reconciliation_summary.json,"178 ticks; ABCL SKIPPED_ENTRY_STALE; cash 300000.00 -> 300000.00; 1 planned companion restart (heartbeat-TTL fix)"
S1,2026-09-08,54c9b40,Original intraday,0,0,0,0,0,0,0.00,0.00,2026-09-08T20:05:46Z,"n/a","none",results/task113_v2_full_day/_eod_reconciliation_summary.json,"inactive baseline; all candidates suppressed; official_telegram alerts_today=0"
S1,2026-09-08,54c9b40,Original long-term,0,0,0,0,0,0,0.00,0.00,2026-09-08T20:05:46Z,"n/a","none",results/task113_v2_full_day/_eod_reconciliation_summary.json,"no long-term Telegram alert on S1"
S1,2026-09-08,54c9b40,Intelligence,0,4,0,0,0,0,0.00,0.00,2026-09-08T20:05:46Z,"n/a","4 cards enqueued PENDING (never drained)",results/task113_v2_full_day/_eod_reconciliation_summary.json,"AFL+BAC INSIDER_TRANSACTION, MSTR 8-K; intelligence_events 9779->9783"
S1,2026-09-08,54c9b40,Experimental,0,57,0,0,0,"0 (carried: see S2)",0.00,"not valued (internal lane)",2026-09-08T20:05:46Z,"est_costs not computed","5 open positions carried across the window (none opened S1)",results/task113_v2_full_day/_eod_reconciliation_summary.json,"57 directional_alerts; 115 dispatch_log all RECORDED/DRY_RUN_HELD; 0 external; 0 paper trades S1"
S1,2026-09-08,54c9b40,system/admin,0,0,0,0,0,0,0.00,0.00,2026-09-08T20:05:46Z,"n/a","none",results/task113_v2_full_day/_eod_reconciliation_summary.json,"1 planned restart; market feed HEALTHY through close"
S2,2026-09-09,9bec279,V2 trading,0,0,0,0,0,0,0.00,0.00,2026-09-09T20:12:30Z,"n/a","none (0 intents/outbox/exit_unresolved)",results/prospective_2026-09-09/eod_close_20260909T201230Z/canonical_eod.json,"tick ~127 at close; cash 300000.00; ledger md5 c09c6a88 unchanged from Day-1; EOD PASS_WITH_FINDINGS exit 0"
S2,2026-09-09,9bec279,Original intraday,0,0,0,0,0,0,0.00,0.00,2026-09-09T20:12:30Z,"n/a","none",results/prospective_2026-09-09/pre_eod_forensic/forensic_summary.json,"0 published; every candidate suppressed (blackout / confluence<2); official intraday alerts lifetime=0"
S2,2026-09-09,9bec279,Original long-term,0,0,1,0,0,0,0.00,0.00,2026-09-09T20:12:30Z,"n/a","none",results/prospective_2026-09-09/pre_eod_forensic/forensic_summary.json,"1 Telegram push = long-term alert #LT6 ORCL hold_quality (info) 06:58:36Z; Brain 1 / Core-LT 1 / Dispatch 1"
S2,2026-09-09,9bec279,Intelligence,0,35,0,0,0,0,0.00,0.00,2026-09-09T20:12:30Z,"n/a","35 cards enqueued PENDING (never drained)",results/task117_day3_eod_20260910T202656Z/db/ingestion_ledger.db.postclose,"intel_events_discovered_today=32; 5 filing-cache invalidations (4 ORCL 8-K + 1 DELL 10-Q)"
S2,2026-09-09,9bec279,Experimental,9,0,0,2,0,"2 (VRT, BLSH opened 15:03:34Z)",0.00,"not valued (internal lane; positions open)",2026-09-09T20:12:30Z,"est_costs not computed","2 positions opened S2 remain open; external sends 0",results/prospective_2026-09-09/pre_eod_forensic/forensic_summary.json,"9 quant signals published on talonx:exp:* (AMD,BLSH,SKHY,CSCO,VRT,VRT,BLSH,INTC,ABCL); 85 alert cards held; override_active=false"
S2,2026-09-09,9bec279,system/admin,0,0,0,0,0,0,0.00,0.00,2026-09-09T20:12:30Z,"n/a","none",results/prospective_2026-09-09/pre_eod_forensic/forensic_summary.json,"1 Redis publisher reconnect 07:58 BST (19s, pre-open); 73 PROVIDER_SCHEMA_ERROR; market HEALTHY"
S3,2026-09-10,e1de6c1,V2 trading,0,0,0,0,0,0,0.00,0.00,2026-09-10T20:31:35Z,"n/a","none (0 intents/outbox/exit_unresolved)",results/task117_day3_eod_20260910T202656Z/eod/eod.json,"307 ticks; scope 39 enforced; cash 300000.00; ledger md5 29e57dbc (byte-identical to post-migration); EOD PASS_WITH_FINDINGS exit 0; shutdown clean; Redis retained"
S3,2026-09-10,e1de6c1,Original intraday,0,0,0,0,0,0,0.00,0.00,2026-09-10T20:31:35Z,"n/a","none",results/task117_day3_eod_20260910T202656Z/dashboard/section_original_quant.json,"0 published; 15002 rejected_candidates (14973 volatility + 18 confluence + 10 opening-blackout + 1 trend); paper_trading cash 10000.00 unchanged"
S3,2026-09-10,e1de6c1,Original long-term,0,0,3,0,0,0,0.00,0.00,2026-09-10T20:31:35Z,"n/a","none",results/task117_day3_eod_20260910T202656Z/db/dispatch_audit.db.postclose,"3 Telegram pushes: ORCL earnings heads-up 08:45:10Z + #LT7 20:30:46Z + #LT8 20:30:49Z (all telegram_sent=1, no error). Informational hold_quality, not trade orders."
S3,2026-09-10,e1de6c1,Intelligence,0,23,0,0,0,0,0.00,0.00,2026-09-10T20:31:35Z,"n/a","23 cards enqueued PENDING (never drained); part of 9843-row all-time backlog, 0 ever sent",results/task117_day3_eod_20260910T202656Z/db/ingestion_ledger.db.postclose,"19 IMMEDIATE + 4 DIGEST; DELL/TSLA/WMT/AVGO/AFL/PG/V/ORCL/ADP/JPM"
S3,2026-09-10,e1de6c1,Experimental,"3 (by 16:24Z; 8 WOULD_PASS all day)",0,0,3,0,5,0.00,"not valued (internal lane; 5 positions open, no exits)",2026-09-10T19:29:45Z,"est_costs NULL (not computed)","5 open positions (VRT,BLSH from S2; AMD,STX,SPCX from S3); external sends 0",results/task117_day3_eod_20260910T202656Z/db/exp_alerts.db.postclose,"116 directional_alerts all day; 3 paper BUYs AMD 16:51Z/STX 18:45Z/SPCX 19:29Z; current_cash 87500.00 of 100000.00; every row sent=0 + DRY_RUN_HELD; 1 event_update (ORCL HIGH) held"
S3,2026-09-10,e1de6c1,system/admin,0,0,1,0,0,0,0.00,0.00,2026-09-10T20:31:35Z,"n/a","none",results/task117_final_activation_20260910T072019Z/activation/telegram_smoke_test.json,"1 connectivity smoke test (message_id 710, 07:40:57Z) -- NOT a trading alert. 66 PROVIDER_SCHEMA_ERROR + 85 EDGAR-429 (one 19:46Z burst), auto-recovered; market HEALTHY"
