consumer,code_path,field_used,provider_and_basis_BEFORE_PQ2B,provider_and_basis_AFTER_PQ2B_release_mode(sip),notes
Liquidity: prior close >= $5,pipeline.process_episode -> liquidity_window.evaluate_liquidity_checked -> liquidity.evaluate_liquidity,close of the last of 20 sessions strictly before entry,"csv snapshot: SPLIT_DIVIDEND_ADJUSTED (all) as of snapshot time; composite-yf/iex: snapshot + live tail spliced (mixed basis); legacy loader UNKNOWN_LEGACY_CSV","Alpaca SIP 1Day adjustment=split for the WHOLE window (single provider, no snapshot); exact 20 contiguous sessions required",threshold $5 unchanged
Liquidity: 20-session median dollar volume >= $5M,same,close x volume (provider daily volume: consolidated full tape day 04:00-post-market; inverse-split-adjusted),same as above (volume basis matched the price basis in each adapter),"SIP split-only price x inverse-split volume (invariant across a split, NVDA 2024-06-10 test)",threshold $5M unchanged; volume includes extended hours (daily/(reg+ext)=1.000..1.098)
Entry: target Session-1 open,pipeline.process_episode price_lookup(sym eligible_entry_session)['open'],daily open,"csv/composite/yf(all-adjusted until PQ-2A closure; split-only after) ; date-heuristic finality (UTC date)",SIP daily 'o' (provider first eligible trade; NOT the official opening auction print) usable only after session_extended_end+16min,measured: daily open == auction print in 7/29 samples; max deviation 1.2%
Entry recovery (through official close of Session 3),V2Service._phase_open + recovery_deadline_*,same field for the ORIGINAL target session (never a later session's open),same,same rule unchanged; provenance records the target session,no new recovery policy
Paper fill / sizing / cost,paper.enter_position,persisted entry price -> whole-share Q -> position_cost,"price basis of the adapter at fetch time (basis_as_of recorded since PQ-2A)",split-only SIP open; entry_price_provenance incl. feed/contract/usable_after_utc,Package 4 sizing unchanged
Exit: Session-10 target close,pipeline.settle_due_exits price_lookup(sym target)['close'],daily close,same as entry,SIP daily 'c' == official closing cross print (30/30 samples incl. 4 early closes); usable after session_extended_end+16min,
Exit recovery (+1..+5),pipeline.settle_due_exits fall-forward,first available close in next 5 eligible sessions,same,same rule unchanged; beyond +5 -> EXIT_UNRESOLVED,no extension
Settlement / reconciliation,paper.close_position / close._v2_reconcile,persisted entry/exit values (never re-fetched),n/a (persisted),n/a (persisted) + corporate-action/dividend layer (PQ-2A),provider revisions never applied silently
Dashboard marks,V2Service._phase_mark / paper_performance,latest completed-session close (FINAL bars only) or shared latest_prices,"csv fallback (stale) flagged","SIP FINAL bars only; unavailable stays unknown, never zero",
Operator/provenance display,price provenance JSON,"provider/session/source_timestamp/receipt/adjustment_state/basis_as_of","+ feed, contract id + fingerprint, usable_after_utc, session_tz (PQ-2B)",,
Replay/historical compatibility,Task107A/95G snapshot; Task112R/116 replay,adjustment=all SIP snapshot (fetched 2026-09-06),unchanged (research evidence),classified PARTIALLY_COMPATIBLE,see replay section
