classification,symbol,day,detail,evidence_ref,qualifying_trading_signal,note
INFORMATIONAL_DELIVERY_MISSED,ADP,2026-09-10,1/0 queued/sent intelligence_delivery card(s); event(s): INSIDER_TRANSACTION(UNKNOWN),ingestion_ledger.db.postclose intelligence_delivery,"NO -- informational only, not a BUY recommendation","outbox never drained (D5); row durable, not lost"
INFORMATIONAL_DELIVERY_MISSED,AFL,2026-09-08,1/0 queued/sent intelligence_delivery card(s); event(s): INSIDER_TRANSACTION(UNKNOWN),ingestion_ledger.db.postclose intelligence_delivery,"NO -- informational only, not a BUY recommendation","outbox never drained (D5); row durable, not lost"
INFORMATIONAL_DELIVERY_MISSED,AFL,2026-09-09,1/0 queued/sent intelligence_delivery card(s); event(s): INSIDER_TRANSACTION(UNKNOWN),ingestion_ledger.db.postclose intelligence_delivery,"NO -- informational only, not a BUY recommendation","outbox never drained (D5); row durable, not lost"
INFORMATIONAL_DELIVERY_MISSED,AFL,2026-09-10,1/0 queued/sent intelligence_delivery card(s); event(s): INSIDER_TRANSACTION(UNKNOWN),ingestion_ledger.db.postclose intelligence_delivery,"NO -- informational only, not a BUY recommendation","outbox never drained (D5); row durable, not lost"
INFORMATIONAL_DELIVERY_MISSED,AVGO,2026-09-10,1/0 queued/sent intelligence_delivery card(s); event(s): none,ingestion_ledger.db.postclose intelligence_delivery,"NO -- informational only, not a BUY recommendation","outbox never drained (D5); row durable, not lost"
INFORMATIONAL_DELIVERY_MISSED,BAC,2026-09-08,1/0 queued/sent intelligence_delivery card(s); event(s): none,ingestion_ledger.db.postclose intelligence_delivery,"NO -- informational only, not a BUY recommendation","outbox never drained (D5); row durable, not lost"
INFORMATIONAL_DELIVERY_MISSED,CSCO,2026-09-09,1/0 queued/sent intelligence_delivery card(s); event(s): INSIDER_TRANSACTION(UNKNOWN),ingestion_ledger.db.postclose intelligence_delivery,"NO -- informational only, not a BUY recommendation","outbox never drained (D5); row durable, not lost"
INFORMATIONAL_DELIVERY_MISSED,DELL,2026-09-09,13/0 queued/sent intelligence_delivery card(s); event(s): INSIDER_TRANSACTION(UNKNOWN);INSIDER_TRANSACTION(UNKNOWN);INSIDER_TRANSACTION(UNKNOWN);INSIDER_TRANSACTION(UNKNOWN);INSIDER_TRANSACTION(UNKNOWN);INSIDER_TRANSACTION(UNKNOWN);INSIDER_TRANSACTION(UNKNOWN);INSIDER_TRANSACTION(UNKNOWN);INSIDER_TRANSACTION(UNKNOWN);INSIDER_TRANSACTION(UNKNOWN);INSIDER_TRANSACTION(UNKNOWN);INSIDER_TRANSACTION(UNKNOWN),ingestion_ledger.db.postclose intelligence_delivery,"NO -- informational only, not a BUY recommendation","outbox never drained (D5); row durable, not lost"
INFORMATIONAL_DELIVERY_MISSED,DELL,2026-09-10,5/0 queued/sent intelligence_delivery card(s); event(s): INSIDER_TRANSACTION(UNKNOWN);INSIDER_TRANSACTION(UNKNOWN);INSIDER_TRANSACTION(UNKNOWN);INSIDER_TRANSACTION(UNKNOWN);INSIDER_TRANSACTION(UNKNOWN),ingestion_ledger.db.postclose intelligence_delivery,"NO -- informational only, not a BUY recommendation","outbox never drained (D5); row durable, not lost"
INFORMATIONAL_DELIVERY_MISSED,JPM,2026-09-10,1/0 queued/sent intelligence_delivery card(s); event(s): INSIDER_TRANSACTION(UNKNOWN),ingestion_ledger.db.postclose intelligence_delivery,"NO -- informational only, not a BUY recommendation","outbox never drained (D5); row durable, not lost"
