mechanism,exact_tested_contract,product_horizon,universe_and_period,runtime_data_fidelity,costs_and_execution,result_and_uncertainty,bias_or_missing_evidence,product_verdict,authoritative_report_or_commit,new_information_that_could_change_decision
"Free price/volume structural-long alpha (grouped: Tasks 93-101B, 95B, 95C-D, 95E-G, 95H-I, 95K, 97/106A)","8 distinct hypothesis spaces: intraday opening drift, multi-day momentum/breakout/oversold-rebound, earnings-reaction, cross-sectional momentum ranking (35-name and 620-name PIT panel), deterministic filing-text features, risk-exclusion filtering, catalyst-displacement","intraday / swing (1-10 day)","2019-2026, up to 620-symbol point-in-time S&P panel plus 35-45-name configured set","real historical bars, PIT-membership-corrected in the broad panel (Task 95F/G)","5-10bps modeled round-trip cost, consistent across studies","0 of ~300+ pre-registered experiments passed; the one signed cross-sectional effect INVERTED to negative when breadth/survivorship were corrected; short-horizon proximity-to-high (20-day) measured -26.6 to -36.6bps","broad and already PIT-corrected in the largest panel; genuinely exhausted at this data resolution, not merely small-sample","CLOSED (`RESEARCH_STATUS.md` 'not reopened' -- free intraday/cross-sectional price-volume lanes)","release docs/RESEARCH_STATUS.md; TALONX_RESEARCH_LEDGER.md Tasks 93-101B/95B/95C-K/97/106A","a materially new data or feature class (point-in-time paid consensus, options, non-price information) per the closure clause's own stated bar -- none identified as free in this program to date"
"Original (frozen live contract)","current production long-only intraday contract, unmodified, confluence+volatility gates","intraday","2025-01 to 2026-08, 35-45 configured symbols, live-verified","exact production code, live-observed","modeled costs consistent with production","1 trade in ~18.7 months -- no sample exists to evaluate an edge either way","gate rejects 92.8% of bars by design; frequency, not economics, is the open question","INSUFFICIENT_EVIDENCE (neither rejected nor supported -- no sample)","results/task93_alpha_foundation/FINAL_REPORT.md (release)","substantially more elapsed live time under the SAME unmodified gates, passively -- not an active research task"
"Experimental (EXPERIMENTAL_RELAXED_V1, relaxed gates)","exact verified-wired production contract: entry at signal-bar close, check_exits-sampled stop/target, no EOD flatten, no bearish-close","intraday (relaxed gates)","2019-06 to 2025-08, 35 issuers, full available history for this dataset","runtime parity formally proven against release source (Task 121A, 12 parity tests) after a stale-worktree false claim was corrected","5bps round-trip, applied once; +-$1.25/trade materiality","N=227 closed trades, gross -$612.92 (negative before cost), net -$896.44, PF 0.764, win rate 19.4%, 95% CI [-$8.94,+$1.06]/trade -- does not clear the band either way","same-population historical data now exhausted (12.5 additional months added in Task 121B did not change the sign)","INSUFFICIENT_EVIDENCE (statistical) / DO_NOT_ADVANCE (product) -- archived as an internal research baseline","docs/research/TASK121B_EXTENDED_EXPERIMENTAL_RESULTS.md; TASK122_CANDIDATE_DECISION.md","none identified -- same dataset already exhausted; a different relaxed-gate parameterization would be a parameter variation, not new evidence"
"V2 / INSIDER_BUY_CLUSTER_V2 -- configured 39-name live scope","2 distinct open-market insider (Form 4 code P) buys within 10 trading days, entry next-session-open after the 2nd filing, exit +10 trading days","medium (10-trading-day hold)","2019-2026, the 39-name live-scope universe, chronological replay of the real V2Service.tick()","the actual production tick logic replayed chronologically, not a research-only reimplementation","20bps modeled cost (paper-candidate gate convention)","N=57, 19 distinct issuers, net@20bps=-0.85%, 95% CI=[-4.57%,+1.11%] -- includes zero","small sample is a genuine, disclosed data-scarcity limit (liquid-universe insider clusters are rare), not a methodology defect","INCONCLUSIVE (not negative, not positive -- genuinely underdetermined)","docs/research/TASK120ABC_CORRECTED_BASELINE_AND_DECISION.md","substantially more live-accumulated signal count on the SAME already-frozen contract -- passive accumulation via the existing live paper campaign, not a new active research task"
"V2 / INSIDER_BUY_CLUSTER_V2 -- broader research populations (NOT the live scope)","same contract, run on a 620-name point-in-time panel (Task 115/116) and the full-panel research population (Task 112R)","medium (10-trading-day hold)","2019-2026, 620-name PIT panel / full research panel","research replay, PIT-corrected","20bps modeled cost, same convention","N=170 (Task 115/116) / N=756 (Task 112R), net@20bps positive, both CIs exclude zero","this is a DIFFERENT, broader population than the 39-name live scope and does NOT transfer automatically -- explicitly not equated with the live-scope result anywhere in this program","positive in this population; NOT read as resolving the live-scope INCONCLUSIVE result","docs/research/TASK120ABC_CORRECTED_BASELINE_AND_DECISION.md; TASK112R rehearsal docs (release)","expanding the LIVE configured scope's own universe -- a product/config decision, not a research one"
"Overnight-attention -- daily association (Track A, non-actionable)","session S final volume >=2x trailing-20-session average -> S.close to next-session.open reference return","non-actionable research finding (final volume known only at/after close)","38 active configured tickers, full available daily history, N=2,557 triggers/1,905 dates","daily-bar causal construction, calendar-correct next-session pairing","5bps modeled cost; +-10bps materiality","incremental net +0.1687%/event, date-block-bootstrap 95% CI [+0.0295%,+0.3085%] -- excludes zero, robust to 2 sensitivities","qualified: CI's lower bound does not fully clear the materiality band; genuine but modest","ASSOCIATION_SUPPORTED (qualified) -- explicitly NOT actionable, retained as a disclosed research finding only","docs/research/TASK123_OVERNIGHT_ATTENTION_RESULTS.md","none -- this finding is not the blocker; it is not actionable by construction, independent of further data"
"Overnight-attention -- actionable pre-close candidate (Track B)","fixed 15:50 ET decision cutoff, same-time-of-day cumulative volume, 2-min delay, reference entry, next-session-open reference exit","EOD alert, overnight hold","12-symbol common-coverage cohort extended to 3 calendar years (2023-2025-08), 3,201 eligible/158 triggers/542 distinct dates (Task 125, feed-identity-verified SIP)","independently re-acquired, feed-verified SIP 1-min data; original 2025 sub-window reproduced Task 123's numbers bit-for-bit (correctness check)","5bps round-trip; +-10bps materiality","incremental net -0.2284%/event, 95% CI [-0.79%,+0.35%] -- includes zero; absolute trigger return also negative; negative in all 3 calendar years tested","reference fills only, execution quality never established; small 3-symbol added cohort was concentrated/non-year-stable and did not change the verdict","INCONCLUSIVE (statistical) / DO_NOT_ADVANCE (product) -- closed on a materially larger, multi-year, feed-verified dataset","docs/research/TASK125_OVERNIGHT_ACTIONABLE_RESULTS.md","none identified -- already re-tested on a 5.4x larger, independently-verified dataset with the same negative-leaning result"
"52-week-high proximity, long-only 6-month hold","tercile selection (top 30% by close/252-day rolling high), monthly formation, Jegadeesh-Titman-style overlapping 6-month holds, source-grounded (George & Hwang 2004, tercile confirmed from the primary record)","multi-month (6-month hold, source's own headline test)","38 active-covered configured tickers, 2019-2023-2025-08 usable window, 68 realized cohorts","daily-bar chronological simulation, adjustment=all verified continuous through 2 known 2024 splits","5bps base + 15bps adverse sensitivity; +-10bps materiality on the incremental estimate","absolute net +10.85%/6mo avg-cohort (positive) but incremental vs. the no-selection benchmark -2.846%/6mo, 95% CI [-6.96%,+0.23%] -- includes zero, negative in 9/12 non-overlapping blocks; the no-selection benchmark itself returned MORE (+13.70%/6mo avg-cohort)","today's watchlist projected backward (survivorship, disclosed); only 12 non-overlapping macro-blocks available for a 6-month-hold study on ~7.5 years of data","INCONCLUSIVE (statistical) / DO_NOT_ADVANCE (product) -- did not demonstrate added value over the no-selection benchmark","docs/research/TASK127_LONG_TERM_ECONOMIC_DECISION.md","a materially longer usable history (more non-overlapping 6-month blocks) -- not available from existing free daily data beyond what was already used"
"No-selection long-term benchmark (all-eligible, equal-weight, same 6-month overlapping contract)","identical formation/holding/exit mechanics as the 52-week-high candidate, with NO selection step -- every eligible name included every month","tracking benchmark, not a differentiated alert","same 38-symbol universe/window as above","first REAL chronological $100k portfolio built for this contract (Task 128) -- the originally reported +13.70% was an arithmetic mean of 68 cohort returns, not a portfolio return","5bps base + 15bps adverse sensitivity (portfolio-level: -0.47% impact)","chronological: total return +151.13%, annualized +12.77%, max drawdown -19.58% (recovered in 528 days), 79.3% avg. capital utilization; same-capital same-dates SPY (day-1-invested): +242.68% total/+17.44% annualized, max drawdown -33.79% (recovered in 173 days)","survivorship bias not quantifiable (no point-in-time watchlist snapshot exists anywhere in the repo); lower baseline return AND lower drawdown than SPY does not by itself establish risk-adjusted dominance either way (no Sharpe-type metric computed)","USEFUL_AS_TRACKING_BENCHMARK_ONLY -- a trustworthy research control, not a standalone user-facing product (no ticker differentiation, underperforms the simplest passive alternative on raw return)","docs/research/TASK128_BASELINE_CONTRACT_AND_ACCOUNTING.md; TASK128_BASELINE_PRODUCT_DECISION.md","none identified as a research question -- this is a benchmark construct, not a candidate strategy in its own right"
"Turn-of-month calendar effect","aggregate ~4-trading-day post/pre-month-turn window (McConnell & Xu 2008)","short calendar window (source's own design)","would use the same 38-48 configured tickers; NOT run","not run -- blocked at the product-fit gate before any data was touched","not evaluated","NOT EVALUATED -- no return, trigger, or P&L ever computed for this mechanism in this program","the mechanism structurally produces an identical, non-differentiated exposure across every configured ticker on the same calendar days","DO_NOT_ADVANCE -- a structural product-fit judgment, NOT an economic rejection; explicitly distinct from a tested-and-failed result","docs/research/TASK126_CANDIDATE_SELECTION.md","an explicit user product decision accepting a non-differentiating, calendar-wide alert type as valid for this product -- a product decision, not new data or computation"
